12	7026.00602376	14768.3243183	1845.54595663	-909.645638553	14768.3243183	117443.262222	6911.42739997	-1053.59227236	1845.54595663	6911.42739997	10073.2639267	1669.11362672	-909.645638553	-1053.59227236	1669.11362672	59451.7008642
22	8859.64730971	12371.3257943	1447.59425371	6793.79929829	12371.3257943	130367.415363	1097.83297633	-6704.02423837	1447.59425371	1097.83297633	3259.05311478	2573.26298188	6793.79929829	-6704.02423837	2573.26298188	67469.8626991
42	17994.0924571	16983.0774095	4145.33624762	4282.54910476	16983.0774095	25665.6746522	2455.76033832	3312.8089415	4145.33624762	2455.76033832	5557.58154739	281.027134694	4282.54910476	3312.8089415	281.027134694	4527.84942041
53	12086.7176014	12201.292963	1296.76506173	3120.5096649	12201.292963	24402.5361905	460.660740741	2766.45074074	1296.76506173	460.660740741	1418.52902998	359.21680776	3120.5096649	2766.45074074	359.21680776	2169.07660368
41	21607.4893629	13207.1988468	3495.64414487	10172.9848025	13207.1988468	44283.7053069	5124.00914264	10337.7583232	3495.64414487	5124.00914264	7544.71247427	3265.62339318	10172.9848025	10337.7583232	3265.62339318	31683.67033
1	9678.48366209	14870.0383424	582.630634532	5885.66071023	14870.0383424	91032.9816406	1442.982422	12778.2158593	582.630634532	1442.982422	1909.59501943	1409.59171267	5885.66071023	12778.2158593	1409.59171267	32387.7646171
3	23662.6490893	21574.4130654	4122.48606771	8881.98152656	21574.4130654	29283.9227457	3511.61001611	9233.38845559	4122.48606771	3511.61001611	9595.82102377	1724.56541017	8881.98152656	9233.38845559	1724.56541017	15017.7808151
63	4815.13747963	10502.623514	-209.724391127	1799.67871435	10502.623514	57653.3686431	-1745.4091263	9311.78262562	-209.724391127	-1745.4091263	1698.5022861	-514.206088728	1799.67871435	9311.78262562	-514.206088728	8976.4509416
5	14651.0392746	13983.5957663	2867.2212506	4248.85411473	13983.5957663	25144.5853938	271.466971639	5604.3622913	2867.2212506	271.466971639	3794.96184746	647.560205896	4248.85411473	5604.3622913	647.560205896	3571.17592854
72	4634.88108709	5438.72767506	227.507468756	1622.21726443	5438.72767506	45421.9847729	-4028.93134497	7462.34876612	227.507468756	-4028.93134497	10865.5803095	-1884.00196588	1622.21726443	7462.34876612	-1884.00196588	21888.4608966
7	6621.18281317	6478.71565405	272.649907664	1049.05650662	6478.71565405	60553.2721022	545.451680517	13179.3301878	272.649907664	545.451680517	997.303490305	453.189418283	1049.05650662	13179.3301878	453.189418283	15042.2932841
6	18205.7197484	18773.0354501	2124.05150739	6850.05327101	18773.0354501	41355.5599238	2156.72168283	9048.10274469	2124.05150739	2156.72168283	12135.5549992	2614.5040297	6850.05327101	9048.10274469	2614.5040297	9547.49145352
2	16350.4683951	6862.09077503	1169.73589849	5855.65192044	6862.09077503	104588.1251	1653.8134987	7843.87741922	1169.73589849	1653.8134987	2235.71600213	2182.17369151	5855.65192044	7843.87741922	2182.17369151	17606.8084427
94	4324.04844675	9520.47293639	184.636309172	1970.23919749	9520.47293639	85589.6408284	3253.3835429	6312.96514053	184.636309172	3253.3835429	1458.65360947	12.6456139053	1970.23919749	6312.96514053	12.6456139053	30229.7346366
