12	410.83125	2499.04375	157.2975	340.06125
22	452.004	2328.736	87.616	246.015
42	688.135483871	1085.56612903	119.970967742	104.65483871
53	575.830555556	938.016666667	81.0027777778	89.4472222222
41	789.828865979	1746.64123711	123.480412371	219.148453608
1	538.81875	1885.7953125	82.39375	237.03671875
3	880.082978723	1418.92978723	159.729787234	179.870212766
63	447.083333333	917.481481481	91.2796296296	103.509259259
5	767.489130435	1186.16195652	102.154347826	112.915217391
72	401.68372093	970.611627907	85.276744186	229.025581395
7	556.053658537	1251.44878049	66.6926829268	162.090243902
6	758.265151515	1348.59848485	144.189393939	182.090909091
2	662.015533981	1786.33495146	82.3582524272	209.35631068
94	462.551428571	1599.85571429	70.9214285714	258.744285714
