12	439.523357664	2556.31824818	157.482481752	298.944525547
22	488.876	2384.26285714	96.4462857143	285.687428571
42	712.68	1119.15619048	116.083809524	113.317142857
53	619.922222222	1008.26666667	88.4222222222	101.436507937
41	820.443859649	1771.6502924	119.632163743	219.434502924
1	564.788625592	1939.1042654	84.8099526066	233.037440758
3	885.269822485	1449.93491124	138.314792899	181.266272189
63	469.677659574	990.628723404	89.8510638298	125.323404255
5	789.932278481	1220.4664557	107.54556962	116.760759494
72	430.547887324	1028.76619718	104.035211268	228.071830986
7	559.156140351	1277.66491228	69.8578947368	153.040350877
6	776.518421053	1390.71842105	142.999122807	159.793859649
2	694.011111111	1822.87469136	82.4358024691	203.288271605
94	478.396153846	1682.13846154	75.1153846154	267.916346154
