START/PALM	808.81627907	1276.82093023	95.8325581395	127.874418605
FLEECE	439.523357664	2556.31824818	157.482481752	298.944525547
SQUARE	604.515686275	2063.95098039	69.7647058824	197.954901961
DRESS	735.130630631	1712.10990991	88.2576576577	205.738738739
GOOSE	430.547887324	1028.76619718	104.035211268	228.071830986
PRICE	820.443859649	1771.6502924	119.632163743	219.434502924
KIT	540.530821918	1906.2760274	91.9363013699	240.676712329
THOUGHT/NORTH/FORCE	617.306451613	1006.89516129	86.7274193548	100.159677419
NEAR	619.275384615	2012.84153846	68.8030769231	215.878461538
STRUT	776.518421053	1390.71842105	142.999122807	159.793859649
MOUTH	713.33490566	1118.91226415	116.814150943	113.951886792
TRAP	885.793333333	1472.81428571	150.454285714	194.465714286
LOT	767.376388889	1153.15416667	121.536111111	103.486111111
FOOT	559.156140351	1277.66491228	69.8578947368	153.040350877
NURSE	478.396153846	1682.13846154	75.1153846154	267.916346154
FACE	488.876	2384.26285714	96.4462857143	285.687428571
BATH	884.4109375	1412.3984375	118.3984375	159.6109375
GOAT	469.677659574	990.628723404	89.8510638298	125.323404255
