START/PALM	13676.0425257	13351.4907058	2724.44446998	4384.4328583	13351.4907058	21944.6477015	740.181411574	5662.92867496	2724.44446998	740.181411574	3232.1626609	687.066297999	4384.4328583	5662.92867496	687.066297999	4039.59864792
FLEECE	7026.00602376	14768.3243183	1845.54595663	-909.645638553	14768.3243183	117443.262222	6911.42739997	-1053.59227236	1845.54595663	6911.42739997	10073.2639267	1669.11362672	-909.645638553	-1053.59227236	1669.11362672	59451.7008642
SQUARE	7251.24367551	11058.7388082	2100.83114187	2652.86992311	11058.7388082	121401.833479	4638.90121107	-2315.31083814	2100.83114187	4638.90121107	1518.19875433	600.047035755	2652.86992311	-2315.31083814	600.047035755	6939.13620146
DRESS	15160.3695122	19401.4369037	-18.4859102346	7007.13277737	19401.4369037	57891.3084604	2330.65447366	13373.787544	-18.4859102346	2330.65447366	2457.72280172	2863.78037903	7007.13277737	13373.787544	2863.78037903	22489.0973281
GOOSE	4634.88108709	5438.72767506	227.507468756	1622.21726443	5438.72767506	45421.9847729	-4028.93134497	7462.34876612	227.507468756	-4028.93134497	10865.5803095	-1884.00196588	1622.21726443	7462.34876612	-1884.00196588	21888.4608966
PRICE	21607.4893629	13207.1988468	3495.64414487	10172.9848025	13207.1988468	44283.7053069	5124.00914264	10337.7583232	3495.64414487	5124.00914264	7544.71247427	3265.62339318	10172.9848025	10337.7583232	3265.62339318	31683.67033
KIT	7603.0411733	12830.6510813	993.85340167	6268.44729311	12830.6510813	90324.2055212	1760.80977435	14132.3780034	993.85340167	1760.80977435	1987.88546303	1387.1565988	6268.44729311	14132.3780034	1387.1565988	39076.7905536
THOUGHT/NORTH/FORCE	11850.602539	12172.0727732	1038.38804891	2960.42703434	12172.0727732	24677.620783	321.651584287	2700.74657908	1038.38804891	321.651584287	1260.45005463	228.680137877	2960.42703434	2700.74657908	228.680137877	2101.35305151
NEAR	10049.7107787	13644.4065609	919.415460355	6377.03946982	13644.4065609	84767.1516592	2434.87417988	11565.1147408	919.415460355	2434.87417988	1363.45199053	1063.04191243	6377.03946982	11565.1147408	1063.04191243	16937.670613
STRUT	18205.7197484	18773.0354501	2124.05150739	6850.05327101	18773.0354501	41355.5599238	2156.72168283	9048.10274469	2124.05150739	2156.72168283	12135.5549992	2614.5040297	6850.05327101	9048.10274469	2614.5040297	9547.49145352
MOUTH	17869.3715174	16806.0860813	4156.4512985	4285.79592471	16806.0860813	25429.7931515	2413.8870906	3265.29879761	4156.4512985	2413.8870906	5561.15838466	327.051812923	4285.79592471	3265.29879761	327.051812923	4527.4383455
TRAP	23077.2168127	20245.4566667	4608.92617143	7305.51662857	20245.4566667	26761.9545578	2323.12865306	6621.1212517	4608.92617143	2323.12865306	12238.8628626	1301.90852789	7305.51662857	6621.1212517	1301.90852789	16187.4472054
LOT	14880.905137	11949.1962789	3617.52668596	3536.81286651	11949.1962789	20642.4402604	1441.77859954	3892.77519676	3617.52668596	1441.77859954	4107.58758488	941.578001543	3536.81286651	3892.77519676	941.578001543	2687.9248071
FOOT	6621.18281317	6478.71565405	272.649907664	1049.05650662	6478.71565405	60553.2721022	545.451680517	13179.3301878	272.649907664	545.451680517	997.303490305	453.189418283	1049.05650662	13179.3301878	453.189418283	15042.2932841
NURSE	4324.04844675	9520.47293639	184.636309172	1970.23919749	9520.47293639	85589.6408284	3253.3835429	6312.96514053	184.636309172	3253.3835429	1458.65360947	12.6456139053	1970.23919749	6312.96514053	12.6456139053	30229.7346366
FACE	8859.64730971	12371.3257943	1447.59425371	6793.79929829	12371.3257943	130367.415363	1097.83297633	-6704.02423837	1447.59425371	1097.83297633	3259.05311478	2573.26298188	6793.79929829	-6704.02423837	2573.26298188	67469.8626991
BATH	24621.9365991	23702.8418921	3296.88798584	11438.4330054	23702.8418921	31153.7289038	4258.19874756	12210.8139233	3296.88798584	4258.19874756	4621.14484131	1723.80673584	11438.4330054	12210.8139233	1723.80673584	12344.0050366
GOAT	4815.13747963	10502.623514	-209.724391127	1799.67871435	10502.623514	57653.3686431	-1745.4091263	9311.78262562	-209.724391127	-1745.4091263	1698.5022861	-514.206088728	1799.67871435	9311.78262562	-514.206088728	8976.4509416
